,author,body,date,helpful,rating,title
401,['nancy'],['I love it. would recommend  it to anyone who has a busy life and never knows what they want to cook that night in the morning before leaving for work. Great gift for a newly wed.'],"['on May 20, 2015']",[],['5.0 out of 5 stars'],['I love it. would recommend it to anyone who has ...']
402,['Retenue'],"['No issues, product arrived on time and was as described.']","['on November 10, 2016']",[],['5.0 out of 5 stars'],['Five Stars']
403,['Amazon Customer'],['first thing we cooked was pulled pork.  100 minutes.  excellent flavor'],"['on October 12, 2015']",['\n      4 people found this helpful.\n    '],['5.0 out of 5 stars'],['excellent']
404,['Brenda T.'],['excellent'],"['on July 31, 2017']",[],['5.0 out of 5 stars'],['Five Stars']
405,['Sandra Pogue'],"['We have only had an opportunity to use one time.  I can\'t say that I ""love it"" until we try all of the settings and then determine if we would purchase again.']","['on February 3, 2016']",[],['3.0 out of 5 stars'],['Need more time']
406,['DRS'],['works good'],"['on June 29, 2016']",[],['5.0 out of 5 stars'],['Five Stars']
407,['Krissy'],['This thing is awesome! I literally made home made mac n cheese in 6 min with raw noodles! Very well done!!'],"['on November 15, 2017']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['This thing is awesome! I literally made home made mac n cheese ...']
408,['JLee'],"['Bought as a gift, did not think about altitude when using cooker.  Does make some difference.']","['on May 3, 2016']",[],['4.0 out of 5 stars'],['Cooking at altitude']
409,['Toobs'],"[""We absolutely love this pressure cooker!!!! I don't know why we didn't buy one of these much sooner. I love that it cooks the food very fast and makes the meats very tender! And when I say tender in much less time I mean fall off the bone tender in about 30 to 45 minutes compared to 2 to 3 hours of cooking the meats in the past!!! Would I buy this again? Hell yes! Even cooking potatoes it took only 5 to 10 minutes!!""]","['on December 7, 2015']",['\n      19 people found this helpful.\n    '],['5.0 out of 5 stars'],['PERFECT!!!']
410,['307'],"['works great, I have bought 3 of them for family members, but buy the 8 Quart for bigger familys']","['on January 7, 2017']",[],['4.0 out of 5 stars'],['great']
411,['MDYE1029'],"['AMAZING!!! Our first meal was pot roast - took 30 minutes! Potatoes, carrots, onions, etc. SOOOO good!']","['on January 21, 2017']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['AMAZING!']
412,['Tchapmanjr.'],"[""My wife uses this a few times a week.. it's so easy to use and saves her so much time.""]","['on October 4, 2016']",[],['5.0 out of 5 stars'],['Excellent']
413,['Eric'],"['MAIN CONCERN', ""Bought it and didn't use it for several months due to limited space, but once we started using it, perhaps a dozen uses, the handle broke!! It's just a small crack, like a stress crack where you twist to seal or open the pot, but it affects the ability of the lid to seal properly. I sure hope I am contacted to replace the lid, because I love using a pressure cooker."", 'Other complaints about this item: the steamer option is only for small food items, e.g., I can\'t steam an artichoke; some cooking options don\'t allow me to choose the time I want; it is quite bulky; there is no ""off"" setting while plugged in; easily scratched.', 'Things I like: fast cooking; versatile.', 'Will update to higher rating if lid is replaced!']","['on March 2, 2017']",['\n      9 people found this helpful.\n    '],['2.0 out of 5 stars'],['I would like a new lid.']
414,['LAV'],"['Like the speed of cooking, but meats seem to be tougher than slow cooking or roasting']","['on June 5, 2016']",[],['3.0 out of 5 stars'],['Three Stars']
415,['Bonnie'],['easy to use'],"['on October 30, 2017']",[],['5.0 out of 5 stars'],['Five Stars']
416,['Charlie'],['Love it.  So much better than the old one that used to scare me.  This one works great.'],"['on June 8, 2016']",[],['5.0 out of 5 stars'],['Love it.']
417,['Amazon Customer'],"['I love this pressure cooker. It had me when I was able to cook a whole chicken from frozen in 45 minutes!  This this is amazing.  I have had mine for 2 months now & I use it at least once a week. The only thing is once it gets to temp steam comes out the top of lid, I barely push down it it to complete seal & the timer starts. It does state in book that is normal. The seal I think could be made smaller to fit more snug. Overall great product!']","['on January 17, 2017']",['\n      23 people found this helpful.\n    '],['5.0 out of 5 stars'],['Favorite appliance']
418,['Amazon Customer'],['exceeded my expectations.  I use it constantly.'],"['on July 19, 2017']",[],['5.0 out of 5 stars'],['Five Stars']
419,['Amazon Customer'],"['This pressure cooker is gold. We use it for everything in the kitchen, full meals, side dishes, soup, and is the only way we cook rice now. Its perfect for canning small batches of stuff, and you can set it and walk away.']","['on November 15, 2015']",[],['5.0 out of 5 stars'],['Very Useful!']
420,['John F. Keith'],['Very nice well constructed quality cooker. Was for gift'],"['on September 25, 2016']",[],['4.0 out of 5 stars'],['Fast Delivery']
421,['Joni Warden'],"['as long as you properly prepare the inner cook pot, you should just LOVE this!!!!']","['on February 16, 2017']",[],['5.0 out of 5 stars'],['you should just LOVE this!']
422,['Mary'],['So easy and so convenient love it'],"['on January 28, 2017']",[],['5.0 out of 5 stars'],['Awesome']
423,['Maggie Bishop'],"['ANYTHING THAT MAKES MY LIFE EASIER IS GREAT.  THIS HAS REPLACED MY OLD STOVE-TOP PRESSURE COOKER AND AFTER USING IT TWICE, I CAN HONESTLY GIVE IT A DEFINITE THUMBS-UP.']","['on July 17, 2015']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['RETIRED AND LOVING IT!']
424,['Amazon Customer'],"[""This item has to be one of the nicest purchase i've made. We have used this several times and it's simplicity makes cooking so easy.  Recommend  this to everyone.""]","['on October 22, 2015']",['\n      3 people found this helpful.\n    '],['5.0 out of 5 stars'],"[""We have used this several times and it's simplicity makes cooking so easy. Recommend this to everyone""]"
425,['Darlene L. Hardin'],['Loved'],"['on November 20, 2017']",[],['5.0 out of 5 stars'],['Five Stars']
426,['ptcoke2'],['Love this Product!!! Dinner made alot faster! Everyone should have one cuts time in half or more!!'],"['on February 29, 2016']",[],['5.0 out of 5 stars'],['LOVE IT!!!']
427,['Scott K.'],"['My wife loves this, it cooks in a fraction of the time, can use for many things.']","['on February 13, 2018']",[],['5.0 out of 5 stars'],['Five Stars']
428,['L'],"[""Haven't tried it yet, but love the first one I have and still use as was different style""]","['on April 12, 2016']",[],['5.0 out of 5 stars'],"['Quick, Easy & Tasty Food']"
429,['Stephanie'],"[""This is such a lifesaver! I have used this several times. Meals are cooked in 1 pot, at 1 time, in just minutes! There have been times that I forgot to defrost meat, oops, but that's ok! I can put raw meat in with the other ingredients (seasonings, vegetables) and just add about 10 more min! Where else can you make a beef stew in 15 min?!?!""]","['on September 13, 2016']",['\n      4 people found this helpful.\n    '],['5.0 out of 5 stars'],['AMAZING!']
430,['Christel Reagan'],['Love this so much. I bought one for each of my daughters as well.'],"['on August 2, 2015']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Five Stars']
431,['Mb'],['Love this product . Fast and tasty.'],"['on December 26, 2015']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Five Stars']
432,['Syed A. Ali'],['Excellent product. Must have.'],"['on July 19, 2017']",[],['5.0 out of 5 stars'],['Five Stars']
433,['Leon'],"[""Would be 5 starts but the picture is misleading - the little grill does NOT come with the cooker. Otherwise this thing is amazing - I ate some very  good soup in less than 3 hours after unpacking the PPC and my previous culinary experience is pretty much limited to boiling eggs and making tea (seriously). It also makes rice that's just as good as rice made by the pros, etc., etc. Great device if you want good food fast and don't want to learn how to actually cook :)""]","['on September 13, 2015']",['\n      4 people found this helpful.\n    '],['4.0 out of 5 stars'],['Great device']
434,['Amazon Customer'],['love it.'],"['on August 29, 2017']",[],['5.0 out of 5 stars'],['Five Stars']
435,['clem nadeau'],['GREAT BUY'],"['on April 26, 2016']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['GREAT BUY']
436,['Katherine'],['The pressure cooker arrived with the box dented and when I opened it also was dented the measuring cup was broken. No instructions on how to use or how set it up. Extremely disappointed'],"['on January 17, 2017']",['\n      7 people found this helpful.\n    '],['1.0 out of 5 stars'],"['Dented, broken and No instructions.']"
437,['Priscilla Greiten'],"['This is a great product.  Easy to use, easy to clean.  It does it all - browns meat, slow cooks, pressure cooks and does canning.  WOW.']","['on November 25, 2015']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Great Product']
438,['Sims L. Watson'],"['Great product, fast delivery, thanks! Wish the recipe book that comes with it had more recipes but can find plenty on youtube. Outstanding seller!']","['on November 26, 2015']",[],['5.0 out of 5 stars'],['Great Product!']
439,['Gail Fallaw'],['Love it such a good product and help getting a meal completed in 15 minutes if need quick meal in a snap'],"['on August 17, 2016']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Love it such a good product and help getting a ...']
440,['Guy R. Nevills'],"['Absolutely love it, the best way to go for quick meals. This is best product I have come across in a long time.']","['on January 26, 2016']",[],['5.0 out of 5 stars'],['The Super cooker!']
441,['D Lewis'],['Finally a pressure cooker that works!!! Awesome'],"['on February 17, 2017']",[],['5.0 out of 5 stars'],['Five Stars']
442,['Mike'],['Bought this for my wife who does all kinds of cooking and canning. It was worked as we expected. Thank you .'],"['on December 4, 2015']",[],['5.0 out of 5 stars'],['Bought this for my wife who does all kinds of ...']
443,['John P Rouleau II'],['OMG! Everything I have cooked in this thing has been mouth-watering! Super easy recipes and fast! So much better that a crock pot!'],"['on September 9, 2017']",[],['5.0 out of 5 stars'],['How did I ever live without this!']
444,['Sunshine'],['I love this and it does everything it claims to. I just add extra time for larger meats and it just falls apart. Otherwise the cooking times are true to the recipes.'],"['on April 26, 2015']",['\n      2 people found this helpful.\n    '],['5.0 out of 5 stars'],['Excellent']
445,['EmTeeKay'],"[""I've only used this 3 times, twice for collards greens & once for red cabbage.  Each time it was wonderfully convenient.  When cooking these normally takes 1 - 2 hours (greens take a long time because you are boiling the meat first, then the adding the greens, & cabbage also takes a while to soften up) but with the pressure cooker, it took 20-30 minutes tops. Cooking time was 10-15 minutes.  I started the cooker (lid off) with water and meat (smoked turkey wings/necks) + seasonings. While it was heating up, I used that time to cut up the greens and add to the cooker to allow for them to shrink, so that more could be added.  Once all the greens were added and stirred, I restarted the cook time for 15 mins, closed it up and let it go.  Perfect greens in perfect pot liquor.  Similar for the cabbage, except that I added all the cabbage at once to the heated water, vinegar & seasoning. Then I restarted the timer to 10 mins. It was delicious.  I bought this mainly to cook collards for large events to cut back on the cooking work & time. So far it's been great.  I can't wait to use it for other things.""]","['on December 16, 2016']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Great for Cooking Greens!']
446,['Mary W.'],['My daughter loves it!!'],"['on January 20, 2017']",[],['5.0 out of 5 stars'],['Five Stars']
447,['Sharon Tiesen'],"['We love it! We use it 2 or 3 times a week! we have cooked roasts, chicken, ribs, round steak, stew and soup! So glad we bought this! Perfect for a busy family!']","['on June 30, 2015']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['We love it! We use it 2 or 3 times ...']
448,['Tommy Joe'],"['Pressure cooker works great, I love it. I am going to order some cookbooks. Really easy to use and my wife trusts it more than my old one. I highly recommend this product.']","['on October 11, 2016']",[],['5.0 out of 5 stars'],"['Pressure cooker works great, I love it']"
449,['C.Smith'],"[""didn't work cost me $52.00 to ship it back.... JUNK ... and bad seller""]","['on May 17, 2015']",['\n      One person found this helpful.\n    '],['1.0 out of 5 stars'],"[""didn't work - bad seller""]"
450,['roger chabot'],['i love it'],"['on March 20, 2017']",[],['5.0 out of 5 stars'],['Five Stars']
451,['Jason L.'],['I love this pressure cooker i use it almost everyday'],"['on October 29, 2015']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Five Stars']
452,['Kindle Customer'],"['It works fine, as expected.']","['on December 7, 2016']",[],['5.0 out of 5 stars'],['Pressure cooker review']
453,['Tamara B.'],"[""I bought it in 2016...could not figure it out. Figured I would try again. Cooked two meals and it won't even turn on! Going to have to send it back with $25 to get anotehr one..not worth the effort.""]","['on February 7, 2018']",[],['1.0 out of 5 stars'],['I bought it in 2016... could not ...']
454,['JConsumer'],['It met and surpassed my expectations.  Cooked half a turkey. Came out great.'],"['on December 27, 2016']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Needed fast cooker']
455,['Jerald Mendiola'],['Works great so far.'],"['on December 26, 2016']",[],['5.0 out of 5 stars'],['Five Stars']
456,['Brooke'],['Does not work. Used a couple of times and will not seal or pressurize.'],"['on March 21, 2017']",['\n      7 people found this helpful.\n    '],['1.0 out of 5 stars'],['Wish I could return']
457,['Fanny D.'],"['I used it almost every day, so versatile and convenient and is great for those who are not too much into cooking and cleaning tons of pots and pan.', 'One meal dishes that cook in half the time.']","['on September 22, 2015']",[],['5.0 out of 5 stars'],['so versatile and convenient and is great for those who are not too much into cooking ...']
458,['Shannon Richard'],"[""I love myelectric  pressure cooker and I wouldn't exchange it for the old time pressure cooker for noone. I plan to purchase another one for my sister.""]","['on December 5, 2015']",[],['5.0 out of 5 stars'],"[""I love myelectric pressure cooker and I wouldn't exchange it for ...""]"
459,['D.L. DIZZYSMALL!'],['No problems with  pressure cooker.  It makes my food taste better.'],"['on January 9, 2017']",[],['5.0 out of 5 stars'],['It makes my food taste better.']
460,['Colby lingenfelter'],['Love it.  Use this all the time & have cooked all sorts of foods I never would have attempted without a pressure cooker.  We even tried canning for the first time & it turned out great.'],"['on March 2, 2016']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Love it. Use this all the time & have ...']
461,['indianshadow'],['This product is easy to use. Works very well. Looks smart in my kitchen. I would definitely recommend this.'],"['on December 15, 2016']",[],['5.0 out of 5 stars'],['Great product it performs just as advertised.']
462,['Kindle Customer'],"[""So far I've made a pot roast and a turkey breast and neither of them turned out very well.  I'm disappointed in this item and wish I would not have made the purchase.""]","['on December 11, 2014']",['\n      22 people found this helpful.\n    '],['1.0 out of 5 stars'],"[""I'm disappointed in this item and wish I would not have ...""]"
463,['Claudia B.'],"[""I love this. I can make great dinners in a short time, even if I forget to take something out of the freezer. I've made pork carnitas, ground turkey with veggies and beans; in no time at all. I am going to try wings, ribs and tamales next.""]","['on April 24, 2015']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['I love this. I can make great dinners in a ...']
464,['treasure2glam'],['This is a very good investment.  I love the way it cooks my ribs and chicken.'],"['on March 25, 2015']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Five Stars']
465,['Julissa'],['Love it it has Cut my cooking timing in half!'],"['on January 9, 2018']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Five Stars']
466,['The Nuke'],['Excellent product.  I recommend this time saving device to anyone that wishes delicious meal cooked in a jiffy.  Take any cut of any type of meat products...us your imagination with vegetables and spices and in less than an hour you have a savory tasty meal!  ☺'],"['on April 7, 2016']",[],['5.0 out of 5 stars'],['Excellent product. I recommend this time saving device to ...']
467,['FIDEL'],"['Amazing! I love this,it is a very good buy it cuts your cooking time in half,and very easy to used,I love this buy.']","['on February 20, 2016']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Buy it']
468,['Jeff'],"['Cooks great, No Hassle at all.  Just hit a button and leave it!  Cleaning the pot', 'afterwards is the hard part!']","['on March 5, 2016']",[],['5.0 out of 5 stars'],"['Cooks great, No Hassle at all']"
469,['Debra M Corliss'],"[""Seems to work well. Instructions are vague so it's kind of confusing. Would like more recipes with it.""]","['on February 2, 2016']",[],['4.0 out of 5 stars'],['Would like more recipes with it']
470,['Shirley C. '],"['I used it the very next day after receiving it and made the Roasted Chickens recipe from the book, but I did it with chicken parts not a whole chicken. It came out juicy, tender and absolutely delicious. I have used it many times since. It\'s a great appliance for someone working who wants to make a delicious and quality meal in a faction of the regular cook time. My only ""near failure"" was the spaghetti and that was my fault because I thought they were calling for way too much water and I cut the amount down...my mistake, I should have relied on them figuring out the right amounts for ingredients. The spaghetti had started to burn at the bottom, but I salvaged all but that burnt bottom and it was perfectly delicious too. My husband has already suggested it to his sisters and a neighbor, saying that there has not been a bad meal yet. I gave one to my daughter for her birthday. As a single working girl, she has used it and loves it too.']","['on July 16, 2016']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],"['Consistent ""go to"" appliance']"
471,['LKG1208'],"[""Power Pressure Cooker XL performed as well, if not better, than advertised. The item is real easy to use...it basically runs itself! My first time using it and my food came out perfectly. I can't say anything against this product...I love it!""]","['on January 25, 2016']",[],['5.0 out of 5 stars'],"['if not better, than advertised']"
472,['Richard Fenstermacher'],"['Easy, fun to use']","['on March 17, 2017']",[],['5.0 out of 5 stars'],['Five Stars']
473,['LindaBee'],['good size not too big.  works well and easy cleanup'],"['on June 26, 2016']",[],['4.0 out of 5 stars'],['Four Stars']
474,['Amazon Customer'],['tops doesnt  seal as  claimed.  30 minute meal  took 2 hours 30 minutes becaue  pot wouldnt seal.  Total waste of money -  its a  nice size planter  however.'],"['on October 27, 2015']",[],['1.0 out of 5 stars'],['Total waste of money - its a nice size planter however']
475,['JeanneOH'],"['Cooks quickly--tasty food  Really good for cooking roasts, ribs, whole chicken']","['on February 13, 2016']",[],['5.0 out of 5 stars'],['love--works as advertised']
476,['napahunter'],['Love this pressure cooker! So easy to use'],"['on August 11, 2016']",[],['5.0 out of 5 stars'],['Five Stars']
477,['constance frankenfield'],['Loveed the 10 qt so much I  ordeed a 6 qut too!!'],"['on September 6, 2017']",[],['5.0 out of 5 stars'],['Love it']
478,['Matt'],['This pressure cooker is simple to use and makes great comfort food meals in less than an hour.'],"['on October 29, 2015']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],"['Fast, simple cooker for making comfort food in less than an hour']"
479,['Myrna Beerkircher'],['Worth the price. Easy to use. Love it'],"['on September 18, 2016']",[],['5.0 out of 5 stars'],['Great cooker']
480,['G. Paige'],['a wonderful addition to my kitchen.'],"['on August 28, 2016']",[],['5.0 out of 5 stars'],['Power Pressure Cooker']
481,['marilyn varin'],['use it all the time love it'],"['on February 22, 2016']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Five Stars']
482,['S.C.'],"[""It's just okay. I've tried many of the recipes and they never cook as fast as they say it will. It usually takes about double the time. But it is definitely faster than regular cooking. The lid doesn't seem to seal completely as there is a little steam that comes out during cooking, so don't put it under a cabinet. I've also found that it's difficult to wash. The coating on the pan insert comes off easily and there is a smell that lingers to the metal. I've only used it for pressure cooking, so I can't speak as to the other functions. But the push button controls can be confusing and a bit against intuition. And occasionally when heating the pan, when it comes up to searing temps the cooker throws an error warning and stops heating.""]","['on June 6, 2016']",['\n      2 people found this helpful.\n    '],['3.0 out of 5 stars'],['Just okay']
483,['starcroc'],['I love this device.  15-20 minutes and I have a fully cooked meal.  I find this great for pressure  canning.'],"['on June 28, 2017']",[],['5.0 out of 5 stars'],['I love this device']
484,['A. Breeze'],['I love this.  Can cook dinner in an instant.  Easy to use.  Seals great.  And safe!'],"['on April 19, 2016']",[],['5.0 out of 5 stars'],['I love this. Can cook dinner in an instant']
485,['APJr'],"[""The food tastes a bit like something is missing ... well, it is!  The Oil.  I hopefully will soon learn how to flavor foods in such a way that I love this.  In the meantime, I wish the cookbook was much larger and filled with more ideas.  A bit complicated to operate ... I'll learn.""]","['on December 12, 2015']",[],['4.0 out of 5 stars'],['Need More Recipes!!']
486,['Virginia Thompson'],['Did not meet my expectations. On television it is deceiving. It makes you think you can throw in everything at once. This is not true.'],"['on April 17, 2015']",['\n      12 people found this helpful.\n    '],['2.0 out of 5 stars'],['Unsatisfied']
487,['NovaLee Knopp'],"[""I love it But I was led to believe you can can in it but only if you have the guard in the bottom which didn't come with it and I can find anyway of getting it!""]","['on April 14, 2015']",[],['4.0 out of 5 stars'],['I love it But I was led to believe you can ...']
488,['Angela'],"['Best thing I have purchased for my kitchen in years. Simple to use and makes a good home cooked meal in minutes not hours!!!!!! I would recommend this to anyone, it is worth every penny and then some!']","['on March 3, 2016']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Best thing I have purchased for my kitchen in years']
489,['william casey'],"[""Works great  can't wait to try mac and cheese""]","['on January 7, 2017']",['\n      One person found this helpful.\n    '],['4.0 out of 5 stars'],['So far so good']
490,['Amazon Customer'],['If I could do over I would have ordered a larger for when company comes'],"['on February 20, 2018']",[],['5.0 out of 5 stars'],['Five Stars']
491,['Frank Nitty'],['works great'],"['on February 17, 2018']",[],['5.0 out of 5 stars'],['Five Stars']
492,['all time bookreader'],['Very easy to use and sooo fast!!  Need better recipes though.'],"['on March 29, 2016']",[],['4.0 out of 5 stars'],['Four Stars']
493,['AlwaysABusyBee'],"['\xa0I have never used a Pressure Cooker before so I was unsure what to expect but had heard they are wonderful. When this arrived, I had to try it out right away. I was impressed with the weight of it and the size and the many functions this has for me to cook and can. It comes with the Pressure Cooker, Non-Stick Inner Pot, Wire Rack, Steamer Tray, Ladle, Measuring Cup, Condensation Collector, Power Chopper, Instruction Booklet, Canning Book and Recipe Book so you get quite a few accessories.', ""I looked and read through all the directions and looked through the recipe book. I decided to try the Chicken Wings and the Apple Crisp in the book. I was a bit skeptical that I could cook 4 pounds of frozen chicken wings in 10 minutes. Never having used one of these before, I'm almost embarrassed to say I was scared of the pressure part. I did the wings according to directions and they came out good. I did put them in the over to crisp them up and add more sauce after which the recipe suggests. The apple crisp came out good too."", ""So onto the cooker. The cord is a nice thick round cord with a 3 prong plug. The lid has a nice seal around it which is removable for washing. The lid locks in place tightly and you also have your steam know which turns to the open and closed position. Please make sure when releasing the steam to use a set of tongs or something because the steam is very hot coming out. Cooker has rubber grips on the bottom so the pressure cooker sets firmly on your counter and doesn't slide around."", 'I like the feature on this where when your food is done cooking, the cooker will automatically switch to the warming button to keep your food warm without it cooking further. There is also an LED display which included the timer and that counts down so you know how much time is left on your contents. I cannot wait to try more things in this including canning.', ""I love that this came with a Power Chopper. The blades on this are nice and sharp and works great for chopping veggies and walnuts (that's what I've tried so far). The blade rotates as you are chopping and there is also a cap for the end of it for storing. Definitely pleased with the Power Pressure Cooker XL and would recommend. My video shows it in action but I apologize for the little bit of shakiness when trying to record and demonstrate at the same time."", '**I received this product with a promotional discount in exchange for an honest and unbiased review. No compensation for a positive review was provided. All of my reviews are based 100% off of my experience with the product and I never guarantee a positive review.']","['on November 17, 2015']",['\n      28 people found this helpful.\n    '],['5.0 out of 5 stars'],['So Much You Can Do With This Power Pressure Cooker XL!']
494,['Mich83l'],['Received this on time. Product does what it says and more! This is a very fast pressure cooker and would recommend this to other buyers.'],"['on November 25, 2015']",[],['5.0 out of 5 stars'],"[""As advertised' great pressure cooker!""]"
495,['Laura Koch'],['Love this. But it does take 40 minutes not 25 for a 3 lb pot roast'],"['on May 27, 2016']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Five Stars']
496,['Katherine Claytor'],"['While I am still learning to use it, I have had good results with everything I have tried. I have not processed cans yet.']","['on July 22, 2015']",[],['5.0 out of 5 stars'],['I have had good results with everything I have tried']
497,['Yia'],['My mom loved the Pressure Cooker'],"['on January 12, 2017']",[],['5.0 out of 5 stars'],['Five Stars']
498,['carolyn b watson'],['works'],"['on December 1, 2016']",[],['4.0 out of 5 stars'],['Four Stars']
499,['H. Venture'],['Cooking beans could not possibly be any easier. I love this product!'],"['on October 30, 2016']",[],['5.0 out of 5 stars'],"['Beans in minutes, without any bean-watching']"
500,['Dman'],['Great product'],"['on December 3, 2016']",[],['5.0 out of 5 stars'],['Five Stars']
501,['Kindle Customer'],"[""I love how  fast  this  cooker is ...and  my  meat  is  always  tender  and  juicy....I think  its  the  best  product on the  market right now  ....I even  used  it  to make  me  some  Starwberry  Jam  from  the  recipe  book ....now  I have  to make  more  bcause  everyone  that taste's  my jam  wants  a  jar  now  my  supply is  getting  low ....Yep  I love  this  machine !!!  if only  it  was  a  bit  bigger it  would  be  even  better"", '.']","['on April 19, 2015']",['\n      4 people found this helpful.\n    '],['5.0 out of 5 stars'],['I love how fast this cooker is']
502,['me'],['works well when I use it.'],"['on December 5, 2016']",[],['4.0 out of 5 stars'],['Four Stars']
503,['April Segura'],['my hubby loves it'],"['on December 9, 2016']",[],['5.0 out of 5 stars'],['Five Stars']
504,['ste tall'],"[""works great on everything i've tried so far""]","['on August 24, 2016']",[],['5.0 out of 5 stars'],['cooking']
505,['Gwen M'],"[""Ok...let's start by the fact I don't typically buy infomercial items, ever. However, my schedule has gotten so busy I needed a device to cook dinner quick. Eating out has gotten way too expensive. I figured the $100 here would save a ton of money in the long run. I've had it a week and am already using it nearly daily. It truly is everything it says. The only thing I've noticed is that the prep time is a bit longer than it shows on TV on some items. However, the taste and juiciness of the food is fantastic. I made tomatoes and meatballs tonight. It says to brown the meat for 10 minutes but I didn't see the point if I was using this. I browned them in the unit then pressure cooked them. They turned out great! I'm on to mac and cheese and rice next. I give it a 5 star rating. Price is good, does what it says and has already saved me money.""]","['on August 9, 2015']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['the taste and juiciness of the food is fantastic. I made tomatoes and meatballs tonight']
506,['great'],['Great'],"['on April 1, 2018']",[],['5.0 out of 5 stars'],['Five Stars']
507,['brian kupiec'],['Love this pressure cooker'],"['on September 5, 2017']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['Great pressure cooker']
508,['Linda Win'],['This is a great pressure cooker.  It is easy to use.  The product is very sturdy.  It cooks food really fast.  Really easy to follow and use.  It make great meals in a third of the time.  The food comes out  so moist and tender.  You can put frozen food in it and it cooks it fast.  Just add the ingredients and close the lids and set the pressure dial and leave it.  When it is done you release the steam and than you can open the lid and you food is cooked so tender.  Love it.  I was afraid to use the old fashion pressure cookers because of the explosion factor with the steam.  No worries with this model.  Modern technology  has made it so easy to use without fear.  Love it I can come home from work take frozen meat out and add veggies and have a great home cooked meal in less than a hour.'],"['on April 8, 2016']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['This is a great pressure cooker']
509,['Heidi Jaremko'],['This cooker is awesome. It takes longer than expected to cook because it has to build up the pressure inside but a fraction of the time of a crock pot and the results are just as delish!'],"['on August 27, 2015']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['This cooker is awesome. It takes longer than expected to cook because ...']
510,['Glenn E. Strange'],"[""I bought our unit from amazon.  Got it in proper time with everything it said I would get and bought some extra books as well.  I read the negative reviews after purchase because my wife had read them and was thinking I may have made a bad purchase.  Then, I found the positive reviews and decided to just use it and see.  I have used it multiple times now making Pot Roast, Beans and Ham, Rice and so forth.  This thing works just as advertised if not better.  My wife now has nothing but good to say for it and the same with me.  The internet recipes are just great and the flavors you can get out of this little thing are second to none.  I think that a lot of the negative review writers just don't know how to use it.  You can download a PDF copy of the owners and users manual from the web and if you just follow the steps, you simply can't miss.  All positive from us and will recommend.""]","['on February 22, 2015']",['\n      4 people found this helpful.\n    '],['5.0 out of 5 stars'],['I read the negative reviews after purchase because my wife had read them and was thinking I may have made a bad purchase. Then']
511,['Debbie C.'],['I love this one item above all others in my kitchen. It cooks up a meal in less than 30 mins. Easy to clean and easyto use.'],"['on February 11, 2016']",[],['5.0 out of 5 stars'],['A must for your kitchen and easy to use. Meals in30 minutes or less.']
512,['Dennis Y.'],"['nice cooker, ok price,']","['on August 19, 2016']",[],['4.0 out of 5 stars'],['Four Stars']
513,['suzanne nsoto'],"[""great deal but I find I don't have much use for it now that I have it.""]","['on February 6, 2015']",['\n      One person found this helpful.\n    '],['4.0 out of 5 stars'],['Four Stars']
514,['Roxie'],['This product is awesome and I used it at least 3x a week!  :)'],"['on October 12, 2016']",[],['5.0 out of 5 stars'],['Love this!  :)']
515,['Sharon A Wilson'],"['Love it. Cook meat for my dogs with it, sooooo much quicker.']","['on December 25, 2016']",[],['5.0 out of 5 stars'],['Five Stars']
516,['Lionel T. Minemoto'],"['very good,  my daughter loves it']","['on June 26, 2016']",[],['5.0 out of 5 stars'],"['very good, my daughter loves']"
517,['Ethel'],"['I was impressed my first pressure cooker, important thing is save time and electricity.']","['on December 28, 2016']",[],['5.0 out of 5 stars'],['Five Stars']
518,['anonymous'],['Wish i had bought a bigger one'],"['on May 29, 2017']",[],['5.0 out of 5 stars'],['Five Stars']
